,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
1988918,Total Phosphorus,CABIN,2,Phosphorus Total
1988953,Total Suspended Solids,CABIN,2,Solids Total Suspended
358,Tungsten Dissolved,Environmental Monitoring System,1,Tungsten Total
46,Tungsten Total,Environmental Monitoring System,1,Tungsten Dissolved
1661363,"Tungsten, dissolved",Columbia Basin Waterhub,1,Tungsten Dissolved
1661412,"Tungsten, total",Columbia Basin Waterhub,1,Tungsten Total
11,Turbidity,Environmental Monitoring System,2,Turbidity
1662515,Turbidity,Columbia Basin Waterhub,2,Turbidity
1988920,Turbidity,CABIN,2,Turbidity
173921,Turbidity-Field,Environmental Monitoring System,2,Turbidity
174250,Turbidity-Field	,Environmental Monitoring System,2,Turbidity
1662816,Uranium,Columbia Basin Waterhub,1,Uranium Total
23,Uranium Dissolved,Environmental Monitoring System,1,Uranium Dissolved
147,Uranium Total,Environmental Monitoring System,1,Uranium Total
1988928,Uranium Total,CABIN,1,Uranium Total
1661364,"Uranium, dissolved",Columbia Basin Waterhub,1,Uranium Dissolved
1661413,"Uranium, total",Columbia Basin Waterhub,1,Uranium Total
1661653,"Uranium, Total",Columbia Basin Waterhub,1,Uranium Total
1662822,Vanadium,Columbia Basin Waterhub,1,Vanadium Total
109,Vanadium Dissolved,Environmental Monitoring System,1,Vanadium Dissolved
111,Vanadium Total,Environmental Monitoring System,1,Vanadium Total
1988935,Vanadium Total,CABIN,1,Vanadium Total
1661365,"Vanadium, dissolved",Columbia Basin Waterhub,1,Vanadium Dissolved
1661414,"Vanadium, total",Columbia Basin Waterhub,1,Vanadium Total
1661654,"Vanadium, Total",Columbia Basin Waterhub,1,Vanadium Total
1662828,Zinc,Columbia Basin Waterhub,2,Zinc Total
196,Zinc Dissolved,Environmental Monitoring System,2,Zinc Dissolved
61,Zinc Total,Environmental Monitoring System,2,Zinc Total
1988940,Zinc Total,CABIN,2,Zinc Total
1661366,"Zinc, dissolved",Columbia Basin Waterhub,2,Zinc Dissolved
1661415,"Zinc, total",Columbia Basin Waterhub,2,Zinc Total
1661655,"Zinc, Total",Columbia Basin Waterhub,2,Zinc Total
1662834,Zirconium,Columbia Basin Waterhub,1,Zirconium Total
737440,Zirconium Dissolved,Environmental Monitoring System,1,Zirconium Dissolved
156991,Zirconium Total,Environmental Monitoring System,1,Zirconium Total
1990074,Zirconium Total,CABIN,1,Zirconium Total
1661367,"Zirconium, dissolved",Columbia Basin Waterhub,1,Zirconium Dissolved
1661416,"Zirconium, total",Columbia Basin Waterhub,1,Zirconium Total
1661656,"Zirconium, Total",Columbia Basin Waterhub,1,Zirconium Total
184359,2-Methylnaphthalene,Environmental Monitoring System,,
173904,Acenaphthene,Environmental Monitoring System,,
180146,Acenaphthylene,Environmental Monitoring System,,
72988,Acidity pH 8.3 (as CaCO3),Environmental Monitoring System,,
174107,Acridine,Environmental Monitoring System,,
1988941,Air Temperature,CABIN,,
550,Alkalinity Diss. 4.5,Environmental Monitoring System,,
8909,Alkalinity pH 4.5/4.2,Environmental Monitoring System,,
1661370,"Alkalinity, Bicarbonate (as CaCO3)",Columbia Basin Waterhub,,
1661371,"Alkalinity, Carbonate (as CaCO3)",Columbia Basin Waterhub,,
1661372,"Alkalinity, Hydroxide (as CaCO3)",Columbia Basin Waterhub,,
1661369,"Alkalinity, Phenolphthalein (as CaCO3)",Columbia Basin Waterhub,,
140,Alkalinity; Phenolphthalein (as CaCO3),Environmental Monitoring System,,
2062,Aluminum Extractable,Environmental Monitoring System,,
174132,Anthracene,Environmental Monitoring System,,
3039,Antimony-Extractable,Environmental Monitoring System,,
4890,Arsenic Extractable,Environmental Monitoring System,,
12789,Barium Extractable,Environmental Monitoring System,,
328,Barometric Press.,Environmental Monitoring System,,
174177,Benzo(a)anthracene,Environmental Monitoring System,,
174595,Benzo(a)pyrene,Environmental Monitoring System,,
193772,Benzo(b+j)fluoranthene,Environmental Monitoring System,,
186237,Benzo(g;h;i)perylene,Environmental Monitoring System,,
204343,Benzo(k)fluoranthene,Environmental Monitoring System,,
3675,Beryllium Extractable,Environmental Monitoring System,,
191520,Bio. LC20:Fish,Environmental Monitoring System,,
190732,Bio. LC50:Daphnia Magna,Environmental Monitoring System,,
194150,Bio. LC50:Fish,Environmental Monitoring System,,
